,0,1,2,3,Xt
193,4492600.0,9996700.0,2672800.0,1190400.0,1356500.0
194,9996700.0,2672800.0,1190400.0,1356500.0,7118400.0
195,2672800.0,1190400.0,1356500.0,7118400.0,2802000.0
196,1190400.0,1356500.0,7118400.0,2802000.0,2275900.0
197,1356500.0,7118400.0,2802000.0,2275900.0,1657800.0
198,7118400.0,2802000.0,2275900.0,1657800.0,1284000.0
199,2802000.0,2275900.0,1657800.0,1284000.0,2750300.0
200,2275900.0,1657800.0,1284000.0,2750300.0,15366800.0
201,1657800.0,1284000.0,2750300.0,15366800.0,6101200.0
202,1284000.0,2750300.0,15366800.0,6101200.0,4223200.0
203,2750300.0,15366800.0,6101200.0,4223200.0,3506900.0
204,15366800.0,6101200.0,4223200.0,3506900.0,5282900.0
205,6101200.0,4223200.0,3506900.0,5282900.0,6044200.0
206,4223200.0,3506900.0,5282900.0,6044200.0,6126900.0
207,3506900.0,5282900.0,6044200.0,6126900.0,3399400.0
208,5282900.0,6044200.0,6126900.0,3399400.0,16250600.0
209,6044200.0,6126900.0,3399400.0,16250600.0,3393400.0
210,6126900.0,3399400.0,16250600.0,3393400.0,6177200.0
211,3399400.0,16250600.0,3393400.0,6177200.0,3096400.0
212,16250600.0,3393400.0,6177200.0,3096400.0,2867500.0
213,3393400.0,6177200.0,3096400.0,2867500.0,6298900.0
214,6177200.0,3096400.0,2867500.0,6298900.0,2546100.0
215,3096400.0,2867500.0,6298900.0,2546100.0,5489900.0
216,2867500.0,6298900.0,2546100.0,5489900.0,2693600.0
217,6298900.0,2546100.0,5489900.0,2693600.0,2276000.0
218,2546100.0,5489900.0,2693600.0,2276000.0,2398400.0
219,5489900.0,2693600.0,2276000.0,2398400.0,2033600.0
220,2693600.0,2276000.0,2398400.0,2033600.0,10556500.0
221,2276000.0,2398400.0,2033600.0,10556500.0,4795800.0
222,2398400.0,2033600.0,10556500.0,4795800.0,4692700.0
223,2033600.0,10556500.0,4795800.0,4692700.0,6962500.0
224,10556500.0,4795800.0,4692700.0,6962500.0,8280700.0
225,4795800.0,4692700.0,6962500.0,8280700.0,3162400.0
226,4692700.0,6962500.0,8280700.0,3162400.0,3044200.0
227,6962500.0,8280700.0,3162400.0,3044200.0,2137500.0
228,8280700.0,3162400.0,3044200.0,2137500.0,3130400.0
229,3162400.0,3044200.0,2137500.0,3130400.0,26619900.0
230,3044200.0,2137500.0,3130400.0,26619900.0,22387600.0
231,2137500.0,3130400.0,26619900.0,22387600.0,9770300.0
232,3130400.0,26619900.0,22387600.0,9770300.0,11121600.0
233,26619900.0,22387600.0,9770300.0,11121600.0,13265600.0
234,22387600.0,9770300.0,11121600.0,13265600.0,21164900.0
235,9770300.0,11121600.0,13265600.0,21164900.0,10949200.0
236,11121600.0,13265600.0,21164900.0,10949200.0,15645700.0
237,13265600.0,21164900.0,10949200.0,15645700.0,7475000.0
238,21164900.0,10949200.0,15645700.0,7475000.0,3782600.0
239,10949200.0,15645700.0,7475000.0,3782600.0,6734100.0
240,15645700.0,7475000.0,3782600.0,6734100.0,4762100.0
241,7475000.0,3782600.0,6734100.0,4762100.0,5889300.0
242,3782600.0,6734100.0,4762100.0,5889300.0,0.0
243,6734100.0,4762100.0,5889300.0,0.0,571200.0
